algorithm,distribution,n,opt_level,trial,ns,checksum
branchy,random,131072,O0,0,21291000,9221990434270192866
branchy,random,131072,O0,1,23387000,9221990434270192866
branchy,random,131072,O0,2,24228000,9221990434270192866
branchy,random,131072,O0,3,23806000,9221990434270192866
branchy,random,131072,O0,4,64689000,9221990434270192866
branchy,random,131072,O0,5,32341000,9221990434270192866
branchy,random,131072,O0,6,21318000,9221990434270192866
branchless,random,131072,O0,0,22952000,9221990434270192866
branchless,random,131072,O0,1,26142000,9221990434270192866
branchless,random,131072,O0,2,23186000,9221990434270192866
branchless,random,131072,O0,3,26008000,9221990434270192866
branchless,random,131072,O0,4,24902000,9221990434270192866
branchless,random,131072,O0,5,26745000,9221990434270192866
branchless,random,131072,O0,6,23449000,9221990434270192866
stdlib,random,131072,O0,0,21558000,9221990434270192866
stdlib,random,131072,O0,1,21454000,9221990434270192866
stdlib,random,131072,O0,2,20072000,9221990434270192866
stdlib,random,131072,O0,3,21093000,9221990434270192866
stdlib,random,131072,O0,4,20704000,9221990434270192866
stdlib,random,131072,O0,5,20649000,9221990434270192866
stdlib,random,131072,O0,6,21566000,9221990434270192866
branchy,random,8388608,O0,0,1848120000,8203815107406634294
branchy,random,8388608,O0,1,2267783000,8203815107406634294
branchy,random,8388608,O0,2,2330854000,8203815107406634294
branchy,random,8388608,O0,3,2195159000,8203815107406634294
branchy,random,8388608,O0,4,2239689000,8203815107406634294
branchy,random,8388608,O0,5,2084794000,8203815107406634294
branchy,random,8388608,O0,6,2074972000,8203815107406634294
branchless,random,8388608,O0,0,2163953000,8203815107406634294
branchless,random,8388608,O0,1,2094813000,8203815107406634294
branchless,random,8388608,O0,2,2138369000,8203815107406634294
branchless,random,8388608,O0,3,2112648000,8203815107406634294
branchless,random,8388608,O0,4,2154079000,8203815107406634294
branchless,random,8388608,O0,5,2092738000,8203815107406634294
branchless,random,8388608,O0,6,2014509000,8203815107406634294
stdlib,random,8388608,O0,0,1831208000,8203815107406634294
stdlib,random,8388608,O0,1,1909379000,8203815107406634294
stdlib,random,8388608,O0,2,1814254000,8203815107406634294
stdlib,random,8388608,O0,3,1876707000,8203815107406634294
stdlib,random,8388608,O0,4,1840076000,8203815107406634294
stdlib,random,8388608,O0,5,1846475000,8203815107406634294
stdlib,random,8388608,O0,6,1782838000,8203815107406634294
branchy,random,131072,O1,0,10948000,9221990434270192866
branchy,random,131072,O1,1,9707000,9221990434270192866
branchy,random,131072,O1,2,10636000,9221990434270192866
branchy,random,131072,O1,3,9555000,9221990434270192866
branchy,random,131072,O1,4,10065000,9221990434270192866
branchy,random,131072,O1,5,11013000,9221990434270192866
branchy,random,131072,O1,6,9901000,9221990434270192866
branchless,random,131072,O1,0,10314000,9221990434270192866
branchless,random,131072,O1,1,11086000,9221990434270192866
branchless,random,131072,O1,2,10326000,9221990434270192866
branchless,random,131072,O1,3,10608000,9221990434270192866
branchless,random,131072,O1,4,10780000,9221990434270192866
branchless,random,131072,O1,5,10211000,9221990434270192866
branchless,random,131072,O1,6,10214000,9221990434270192866
stdlib,random,131072,O1,0,14528000,9221990434270192866
stdlib,random,131072,O1,1,14617000,9221990434270192866
stdlib,random,131072,O1,2,14812000,9221990434270192866
stdlib,random,131072,O1,3,14049000,9221990434270192866
stdlib,random,131072,O1,4,14299000,9221990434270192866
stdlib,random,131072,O1,5,15079000,9221990434270192866
stdlib,random,131072,O1,6,13925000,9221990434270192866
branchy,random,8388608,O1,0,849157000,8203815107406634294
branchy,random,8388608,O1,1,879062000,8203815107406634294
branchy,random,8388608,O1,2,842497000,8203815107406634294
branchy,random,8388608,O1,3,852861000,8203815107406634294
branchy,random,8388608,O1,4,852921000,8203815107406634294
branchy,random,8388608,O1,5,843000000,8203815107406634294
branchy,random,8388608,O1,6,844039000,8203815107406634294
branchless,random,8388608,O1,0,910028000,8203815107406634294
branchless,random,8388608,O1,1,975166000,8203815107406634294
branchless,random,8388608,O1,2,1014852000,8203815107406634294
branchless,random,8388608,O1,3,876024000,8203815107406634294
branchless,random,8388608,O1,4,880968000,8203815107406634294
branchless,random,8388608,O1,5,914292000,8203815107406634294
branchless,random,8388608,O1,6,923880000,8203815107406634294
stdlib,random,8388608,O1,0,1216682000,8203815107406634294
stdlib,random,8388608,O1,1,1191715000,8203815107406634294
stdlib,random,8388608,O1,2,1186293000,8203815107406634294
stdlib,random,8388608,O1,3,1185837000,8203815107406634294
stdlib,random,8388608,O1,4,1214202000,8203815107406634294
