algorithm,distribution,n,opt_level,trial,ns,checksum
insertion,random,8192,O2,0,13873000,2285960956133415945
insertion,random,8192,O2,1,13232000,2285960956133415945
insertion,random,8192,O2,2,12567000,2285960956133415945
insertion,random,8192,O2,3,13741000,2285960956133415945
insertion,random,8192,O2,4,11946000,2285960956133415945
insertion,random,8192,O2,5,10656000,2285960956133415945
insertion,random,8192,O2,6,13029000,2285960956133415945
insertion,sorted,8192,O2,0,9000,2285960956473982976
insertion,sorted,8192,O2,1,8000,2285960956473982976
insertion,sorted,8192,O2,2,9000,2285960956473982976
insertion,sorted,8192,O2,3,8000,2285960956473982976
insertion,sorted,8192,O2,4,9000,2285960956473982976
insertion,sorted,8192,O2,5,9000,2285960956473982976
insertion,sorted,8192,O2,6,9000,2285960956473982976
insertion,reverse,8192,O2,0,25351000,2285960956473982976
insertion,reverse,8192,O2,1,27531000,2285960956473982976
insertion,reverse,8192,O2,2,28721000,2285960956473982976
insertion,reverse,8192,O2,3,26029000,2285960956473982976
insertion,reverse,8192,O2,4,27008000,2285960956473982976
insertion,reverse,8192,O2,5,29494000,2285960956473982976
insertion,reverse,8192,O2,6,27448000,2285960956473982976
insertion,partial,8192,O2,0,1665000,2285960956473982976
insertion,partial,8192,O2,1,1632000,2285960956473982976
insertion,partial,8192,O2,2,1670000,2285960956473982976
insertion,partial,8192,O2,3,1644000,2285960956473982976
insertion,partial,8192,O2,4,2030000,2285960956473982976
insertion,partial,8192,O2,5,1578000,2285960956473982976
insertion,partial,8192,O2,6,1563000,2285960956473982976
insertion,dupes,8192,O2,0,10959000,2285960955745754404
insertion,dupes,8192,O2,1,10732000,2285960955745754404
insertion,dupes,8192,O2,2,10715000,2285960955745754404
insertion,dupes,8192,O2,3,10947000,2285960955745754404
insertion,dupes,8192,O2,4,11439000,2285960955745754404
insertion,dupes,8192,O2,5,11221000,2285960955745754404
insertion,dupes,8192,O2,6,9833000,2285960955745754404
branchy,random,8192,O2,0,456000,2285960956133415945
branchy,random,8192,O2,1,450000,2285960956133415945
branchy,random,8192,O2,2,466000,2285960956133415945
branchy,random,8192,O2,3,478000,2285960956133415945
branchy,random,8192,O2,4,495000,2285960956133415945
branchy,random,8192,O2,5,462000,2285960956133415945
branchy,random,8192,O2,6,467000,2285960956133415945
branchy,sorted,8192,O2,0,106000,2285960956473982976
branchy,sorted,8192,O2,1,102000,2285960956473982976
branchy,sorted,8192,O2,2,102000,2285960956473982976
branchy,sorted,8192,O2,3,102000,2285960956473982976
branchy,sorted,8192,O2,4,102000,2285960956473982976
branchy,sorted,8192,O2,5,102000,2285960956473982976
branchy,sorted,8192,O2,6,102000,2285960956473982976
branchy,reverse,8192,O2,0,220000,2285960956473982976
branchy,reverse,8192,O2,1,206000,2285960956473982976
branchy,reverse,8192,O2,2,206000,2285960956473982976
branchy,reverse,8192,O2,3,206000,2285960956473982976
branchy,reverse,8192,O2,4,206000,2285960956473982976
branchy,reverse,8192,O2,5,206000,2285960956473982976
branchy,reverse,8192,O2,6,205000,2285960956473982976
branchy,partial,8192,O2,0,311000,2285960956473982976
branchy,partial,8192,O2,1,263000,2285960956473982976
branchy,partial,8192,O2,2,477000,2285960956473982976
branchy,partial,8192,O2,3,284000,2285960956473982976
branchy,partial,8192,O2,4,261000,2285960956473982976
branchy,partial,8192,O2,5,250000,2285960956473982976
branchy,partial,8192,O2,6,246000,2285960956473982976
branchy,dupes,8192,O2,0,2367000,2285960955745754404
branchy,dupes,8192,O2,1,2101000,2285960955745754404
branchy,dupes,8192,O2,2,2095000,2285960955745754404
branchy,dupes,8192,O2,3,2094000,2285960955745754404
branchy,dupes,8192,O2,4,2091000,2285960955745754404
branchy,dupes,8192,O2,5,2090000,2285960955745754404
branchy,dupes,8192,O2,6,2089000,2285960955745754404
branchless,random,8192,O2,0,573000,2285960956133415945
branchless,random,8192,O2,1,561000,2285960956133415945
branchless,random,8192,O2,2,552000,2285960956133415945
branchless,random,8192,O2,3,545000,2285960956133415945
branchless,random,8192,O2,4,544000,2285960956133415945
branchless,random,8192,O2,5,542000,2285960956133415945
branchless,random,8192,O2,6,540000,2285960956133415945
branchless,sorted,8192,O2,0,716000,2285960956473982976
branchless,sorted,8192,O2,1,833000,2285960956473982976
branchless,sorted,8192,O2,2,835000,2285960956473982976
branchless,sorted,8192,O2,3,786000,2285960956473982976
branchless,sorted,8192,O2,4,787000,2285960956473982976
branchless,sorted,8192,O2,5,786000,2285960956473982976
branchless,sorted,8192,O2,6,785000,2285960956473982976
branchless,reverse,8192,O2,0,589000,2285960956473982976
branchless,reverse,8192,O2,1,585000,2285960956473982976
branchless,reverse,8192,O2,2,581000,2285960956473982976
branchless,reverse,8192,O2,3,583000,2285960956473982976
branchless,reverse,8192,O2,4,582000,2285960956473982976
branchless,reverse,8192,O2,5,580000,2285960956473982976
branchless,reverse,8192,O2,6,581000,2285960956473982976
branchless,partial,8192,O2,0,527000,2285960956473982976
branchless,partial,8192,O2,1,520000,2285960956473982976
branchless,partial,8192,O2,2,517000,2285960956473982976
branchless,partial,8192,O2,3,516000,2285960956473982976
branchless,partial,8192,O2,4,535000,2285960956473982976
branchless,partial,8192,O2,5,613000,2285960956473982976
branchless,partial,8192,O2,6,595000,2285960956473982976
branchless,dupes,8192,O2,0,12327000,2285960955745754404
branchless,dupes,8192,O2,1,12937000,2285960955745754404
branchless,dupes,8192,O2,2,12702000,2285960955745754404
branchless,dupes,8192,O2,3,13137000,2285960955745754404
branchless,dupes,8192,O2,4,14307000,2285960955745754404
branchless,dupes,8192,O2,5,13134000,2285960955745754404
branchless,dupes,8192,O2,6,12623000,2285960955745754404
stdlib,random,8192,O2,0,785000,2285960956133415945
stdlib,random,8192,O2,1,753000,2285960956133415945
stdlib,random,8192,O2,2,738000,2285960956133415945
stdlib,random,8192,O2,3,734000,2285960956133415945
stdlib,random,8192,O2,4,732000,2285960956133415945
stdlib,random,8192,O2,5,731000,2285960956133415945
stdlib,random,8192,O2,6,731000,2285960956133415945
stdlib,sorted,8192,O2,0,42000,2285960956473982976
stdlib,sorted,8192,O2,1,42000,2285960956473982976
stdlib,sorted,8192,O2,2,42000,2285960956473982976
stdlib,sorted,8192,O2,3,42000,2285960956473982976
stdlib,sorted,8192,O2,4,42000,2285960956473982976
stdlib,sorted,8192,O2,5,41000,2285960956473982976
stdlib,sorted,8192,O2,6,41000,2285960956473982976
stdlib,reverse,8192,O2,0,181000,2285960956473982976
stdlib,reverse,8192,O2,1,179000,2285960956473982976
stdlib,reverse,8192,O2,2,178000,2285960956473982976
stdlib,reverse,8192,O2,3,178000,2285960956473982976
stdlib,reverse,8192,O2,4,179000,2285960956473982976
stdlib,reverse,8192,O2,5,178000,2285960956473982976
stdlib,reverse,8192,O2,6,178000,2285960956473982976
stdlib,partial,8192,O2,0,255000,2285960956473982976
stdlib,partial,8192,O2,1,250000,2285960956473982976
stdlib,partial,8192,O2,2,248000,2285960956473982976
stdlib,partial,8192,O2,3,248000,2285960956473982976
stdlib,partial,8192,O2,4,246000,2285960956473982976
stdlib,partial,8192,O2,5,315000,2285960956473982976
stdlib,partial,8192,O2,6,253000,2285960956473982976
stdlib,dupes,8192,O2,0,174000,2285960955745754404
stdlib,dupes,8192,O2,1,169000,2285960955745754404
stdlib,dupes,8192,O2,2,163000,2285960955745754404
stdlib,dupes,8192,O2,3,178000,2285960955745754404
stdlib,dupes,8192,O2,4,160000,2285960955745754404
stdlib,dupes,8192,O2,5,159000,2285960955745754404
stdlib,dupes,8192,O2,6,158000,2285960955745754404
insertion,random,32768,O2,0,203894000,10232363359849621189
insertion,random,32768,O2,1,195877000,10232363359849621189
insertion,random,32768,O2,2,200153000,10232363359849621189
insertion,random,32768,O2,3,225345000,10232363359849621189
insertion,random,32768,O2,4,198656000,10232363359849621189
insertion,random,32768,O2,5,242052000,10232363359849621189
insertion,random,32768,O2,6,195669000,10232363359849621189
insertion,sorted,32768,O2,0,33000,10232363359773589504
insertion,sorted,32768,O2,1,32000,10232363359773589504
insertion,sorted,32768,O2,2,34000,10232363359773589504
insertion,sorted,32768,O2,3,34000,10232363359773589504
insertion,sorted,32768,O2,4,32000,10232363359773589504
insertion,sorted,32768,O2,5,32000,10232363359773589504
insertion,sorted,32768,O2,6,32000,10232363359773589504
insertion,reverse,32768,O2,0,407225000,10232363359773589504
insertion,reverse,32768,O2,1,419816000,10232363359773589504
insertion,reverse,32768,O2,2,396699000,10232363359773589504
insertion,reverse,32768,O2,3,444862000,10232363359773589504
insertion,reverse,32768,O2,4,413813000,10232363359773589504
insertion,reverse,32768,O2,5,403510000,10232363359773589504
insertion,reverse,32768,O2,6,394981000,10232363359773589504
insertion,partial,32768,O2,0,25726000,10232363359773589504
insertion,partial,32768,O2,1,26096000,10232363359773589504
insertion,partial,32768,O2,2,27400000,10232363359773589504
insertion,partial,32768,O2,3,25864000,10232363359773589504
insertion,partial,32768,O2,4,26602000,10232363359773589504
insertion,partial,32768,O2,5,27521000,10232363359773589504
insertion,partial,32768,O2,6,27140000,10232363359773589504
insertion,dupes,32768,O2,0,188101000,10232363362677546108
insertion,dupes,32768,O2,1,179973000,10232363362677546108
insertion,dupes,32768,O2,2,183534000,10232363362677546108
insertion,dupes,32768,O2,3,215260000,10232363362677546108
insertion,dupes,32768,O2,4,203347000,10232363362677546108
insertion,dupes,32768,O2,5,170557000,10232363362677546108
insertion,dupes,32768,O2,6,175050000,10232363362677546108
branchy,random,32768,O2,0,2367000,10232363359849621189
branchy,random,32768,O2,1,2524000,10232363359849621189
branchy,random,32768,O2,2,2785000,10232363359849621189
branchy,random,32768,O2,3,2465000,10232363359849621189
branchy,random,32768,O2,4,2986000,10232363359849621189
